hourly for 1 year,MW/1 MW installed capacity,MW/1 MW installed capacity,MW,MW,MW,MW,MW,NZD/kW,NZD/MW,time
no specific year,Area: 5313 m2,,Per 1000 houses,current electrical load,Fully-electrified load (case x),per 1000 homes,per 1000 homes,price,price,hr
time,solar,wind,residential_base,industrial_base,Industrial_2050,residential_evs,carpark_evs,grid_price_base_cnts,grid_price_base,hour
1,0,0,0.593000000416667,0.07114012,0.671294850526429,0.64000000000000012,0,0.1,100,0
2,0,0,0.548041666666667,0.14072528,0.188021484397,0.64000000000000012,0,0.1,100,1
3,0,0,0.557375,0.22399568,0.706007788289857,0.64000000000000012,0,0.1,100,2
4,0,0,0.598041666666666,0.24126608,0.725218884361286,0.64000000000000012,0,0.1,100,3
5,0.002297056301,0,0.530416666666666,0.20546756,0.768988900075571,0.64000000000000012,0,0.1,100,4
6,0.03525428984,0,0.408291666666666,0.10873796,0.520885012218429,0.64000000000000012,0,0.1,100,5
7,0.1255837983,0.003996972205,0.457291667083333,0.15500836,0.320687020361286,0.64000000000000012,0,0.1,100,6
8,0.2486047875,0.4598068526,0.478041666666667,0.14820984,0.476906964289857,0,0,0.3,300,7
9,0.3155985843,0.3583494154,0.599791666666667,0.14748024,0.720465226597857,0,0,0.3,300,8
10,0.4812556267,0.272232564,0.733541666666667,0.22675064,0.454291738847857,0,0.41142857142857142,0.18,180,9
11,0.5231580042,0.4598068526,0.871666665833333,0.21195176,0.346339450883571,0,0.41142857142857142,0.18,180,10
12,0.6442440158,0.603575805,0.855666665833333,0.22422216,0.898123338740714,0,0.41142857142857142,0.18,180,11
13,0.6572911779,0.7432086672,0.833291666666666,0.23142364,0.559880930812143,0,0.41142857142857142,0.18,180,12
14,0.6638270877,0.8,0.746083333333333,0.23369404,0.624013769191871,0,0.41142857142857142,0.18,180,13
15,0.5684491701,0.8,0.804458333333334,0.14298212,0.7778295452633,0,0.41142857142857142,0.18,180,14
16,0.4674877869,0.8,0.654083333333333,0.16967132,0.426083025370443,0,0.41142857142857142,0.18,180,15
17,0.3264500976,0.8,0.756166666666666,0.16615244,0.867223362669286,0,0,0.3,300,16
18,0.1864888212,0.8,0.706375,0.12308352,0.606796490883572,0,0,0.3,300,17
19,0.06372184408,0.7432086672,0.754583333333333,0.22449704,0.607293818740714,0,0,0.3,300,18
20,0.01534839675,0.272232564,0.895000000833333,0.11215112,0.428964234812143,0,0,0.3,300,19
21,0,0.1409909184,0.759416667083334,0.1852916,0.513748890812143,0,0,0.18,180,20
22,0,0.0560225152,0.77575,0.19315244,0.820476914812143,0,0,0.18,180,21
23,0,0.003996972205,0.887416666666666,0.19163752,0.366779826883571,0.64000000000000012,0,0.1,100,22
24,0,0.003996972205,0.778208333333333,0.10480784,0.656205337406157,0.64000000000000012,0,0.1,100,23
25,0,0,0.6811250025,0.13318624,0.413126130847857,0.64000000000000012,0,0.1,100,0
26,0,0,0.465041666666667,0.16715244,0.497550426812143,0.64000000000000012,0,0.1,100,1
27,0,0,0.432333334583333,0.14342548,0.431128154812143,0.64000000000000012,0,0.1,100,2
28,0,0,0.423541665833333,0.15352952,0.439291498812143,0.64000000000000012,0,0.1,100,3
29,0,0,0.4150833325,0.08516828,0.353463994847857,0.64000000000000012,0,0.1,100,4
30,0.004590373757,0,0.361958333333333,0.13771304,0.796088650526429,0.64000000000000012,0,0.1,100,5
31,0.02753567199,0,0.363458333333334,0.10518888,0.581378900075572,0.64000000000000012,0,0.1,100,6
32,0.04222927504,0.02306791905,0.412166666666667,0.20466472,0.797296500075571,0,0,0.3,300,7
33,0.07075194721,0.0560225152,0.4999166675,0.14614056,0.160205098947857,0,0,0.3,300,8
34,0.1155787407,0.7432086672,0.7015416675,0.2506164,0.493683066847857,0,0.41142857142857142,0.18,180,9
35,0.1783486962,0.603575805,0.955000000416667,0.23709224,0.845009754812143,0,0.41142857142857142,0.18,180,10
36,0.1242602927,0.7432086672,0.864791669166667,0.207637,0.619544218740714,0,0.41142857142857142,0.18,180,11
37,0.5908509151,0.8,0.710375,0.27511284,0.554812897370443,0,0.41142857142857142,0.18,180,12
38,0.7773903288,0.8,0.684291666666666,0.16011864,0.490276793334729,0,0.41142857142857142,0.18,180,13
39,0.6243790781,0.8,0.713583333333334,0.1545348,0.769735431785714,0,0.41142857142857142,0.18,180,14
40,0.3661637067,0.8,0.650416666666666,0.18801724,0.680954023928572,0,0.41142857142857142,0.18,180,15
41,0.3751833012,0.8,0.6475,0.1871902,0.433898425370443,0,0,0.3,300,16
